player_name,plus_minus,eFG_avg,winning_perct,total_games,pts,Score,year_count,plus_minus_x,eFG_avg_x,winning_perct_x,total_games_x,pts_x,Score_x,year_count_x,plus_minus_y,eFG_avg_y,winning_perct_y,total_games_y,pts_y,Score_y,year_count_y,total_year_count,total_score,avg_score,Rank
JaVale McGee,-2.1066666666666665,62.4804992199688,46.66666666666666,75,11.96,28.35279147165887,1,-4.185185185185185,50.28735632183909,40.74074074074074,27,7.5,19.412579821200517,1,1.9264705882352944,64.21568627450979,75.0,68,6.5588235294117645,27.620833333333326,1,3,26.01578053782304,8.671926845941014,126
Patrick Beverley,1.8974358974358967,52.410901467505255,61.53846153846154,78,7.6410256410000015,25.138622802758363,1,5.678571428571429,58.47457627118646,64.28571428571429,28,8.310344827586206,25.63877953577691,1,5.509803921568627,54.838709677419345,74.50980392156862,51,7.9411764705882355,26.127324478178366,1,3,25.980180405927076,8.660060135309026,127
Ben McLemore,-0.8947368421052632,52.34375000000002,36.84210526315789,19,3.947368421,18.022779605231584,1,-3.1666666666666665,47.14285714285714,33.33333333333333,24,6.5,17.760714285714283,1,2.591549295774648,61.009174311926614,61.97183098591549,71,10.070422535211268,28.59102597234785,1,3,25.896551316665324,8.632183772221774,128
Nemanja Bjelica,1.051948051948052,56.57672849915683,49.35064935064935,77,9.623376623,26.49872757910869,1,-1.8421052631578947,54.58333333333334,31.578947368421048,19,8.04761904761905,20.542825814536343,1,0.05555555555555555,58.346094946401216,43.05555555555557,72,11.541666666666664,27.27819040326697,1,3,25.892144344312932,8.630714781437645,129
Luke Kennard,0.8888888888888888,54.03846153846153,47.61904761904761,63,9.73015873,25.100885225789987,1,-0.1176470588235294,59.11330049261082,67.64705882352942,34,7.457142857142857,24.305552013909004,1,-0.7857142857142857,54.82456140350878,39.285714285714285,28,15.785714285714285,26.345426065162904,1,3,25.875224212943476,8.625074737647825,130
Malik Beasley,1.6543209876543212,58.41248303934871,65.4320987654321,81,11.32098765,29.13089853502236,1,-4.333333333333333,55.99999999999999,21.21212121212121,33,20.51515151515152,27.936363636363637,1,-0.9090909090909092,52.528089887640455,54.54545454545454,55,11.181818181818182,25.091113381001023,1,3,25.86215268977461,8.620717563258204,131
Kelly Olynyk,1.3417721518987342,56.294326241134755,49.36708860759494,79,9.962025316,26.80459421823812,1,1.7714285714285714,55.183946488294325,48.57142857142857,35,10.297297297297296,24.595793571880527,1,0.8656716417910447,58.165829145728644,61.19402985074627,67,8.194029850746269,26.083994599865,1,3,25.82238437518676,8.607461458395587,132
Justin Holiday,-5.463414634146342,49.03474903474904,30.48780487804878,82,10.45121951,22.787955550053116,1,0.17142857142857146,60.56105610561057,45.714285714285715,35,11.432432432432432,26.078294914433528,1,0.4794520547945205,56.58436213991771,61.64383561643836,73,8.260273972602741,25.954309713061622,1,3,25.820789045185577,8.606929681728525,133
Eric Gordon,5.338235294117646,52.45202558635395,64.70588235294117,68,16.22058824,30.815212281764957,1,-1.9230769230769231,53.14285714285714,38.46153846153847,26,17.814814814814813,26.716910866910865,1,0.05555555555555555,47.30021598272138,58.33333333333334,36,14.444444444444445,25.222276217902568,1,3,25.80084995089735,8.600283316965784,134
Robert Covington,1.8571428571428568,54.834254143646405,57.14285714285714,35,13.28571429,26.75142068134017,1,3.3939393939393936,49.176954732510296,63.63636363636363,33,8.114285714285714,22.843113142002032,1,0.4714285714285714,53.319502074688785,38.571428571428584,70,12.428571428571427,26.333446947243623,1,3,25.65627887290013,8.552092957633377,135
Aaron Gordon,1.3717948717948718,50.717017208413,51.28205128205128,78,15.97435897,29.07092096615453,1,-2.1052631578947367,50.0,42.105263157894726,19,13.55,23.158947368421053,1,-1.1451612903225807,48.43546284224251,48.38709677419354,62,14.419354838709678,25.993543129915466,1,3,25.580492869428536,8.526830956476179,136
